California Department of Finance,,,,,,,,,,,,,,,,,,,,Census 2010,,
Demographic Research Unit,,,,,,,,,,,,,,,,,,,,Demographic Profile Summary File,,
State Census Data Center,,,,,,,,,,,,,,,,,,,,Generated on 8-17-2012,,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,,,,,,
"Table 3a: Race Detail (Hispanic Inclusive),  April 1, 2010",,,,,,,,,,,,,,,,,,,,,,
School Districts in California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  Geography,Total Population,Total Population of One Race,,,,Asian,,,,,,,,Native Hawaiian and Other Pacific Islander (NHOPI),,,,,,Total Population of Two or More Races,,
San Jose Unified School District,"251,156","237,192","144,694","8,508","2,680","41,456","6,876","11,310","6,190","3,305","2,868","8,078","2,829",876,167,154,244,311,"38,978","13,964",,9700634590
San Juan Unified School District,"321,293","304,193","252,269","15,549","2,939","15,232","2,297","2,725","3,630","1,594","1,508","1,081","2,397","1,387",219,271,214,683,"16,817","17,100",,9700634620
San Leandro Unified School District,"68,320","64,429","25,611","9,306",540,"18,778",524,"8,214","6,172",378,431,"1,970","1,089",535,70,138,139,188,"9,659","3,891",,9700634680
San Lorenzo Unified School District,"77,309","72,688","30,813","8,823",706,"17,519",571,"7,477","5,946",393,279,"1,846","1,007",757,74,122,175,386,"14,070","4,621",,9700634710
San Lorenzo Valley Unified School District,"23,877","22,830","21,649",164,175,342,34,61,85,73,23,9,57,49,23,6,9,11,451,"1,047",,9700634740
San Lucas Union Elementary School District,402,379,212,0,9,6,0,0,5,1,0,0,0,2,2,0,0,0,150,23,,9500634770
San Luis Coastal Unified School District,"90,912","87,685","75,304","3,345",603,"4,389",442,"1,186","1,292",466,293,233,477,103,45,17,17,24,"3,941","3,227",,9700634800
San Marcos Unified School District,"114,528","108,918","77,086","2,620",777,"9,638",988,"1,619","3,361",666,668,"1,388",948,419,72,110,158,79,"18,378","5,610",,9700634880
San Marino Unified School District,"15,005","14,531","6,033",73,11,"8,184",171,"6,744",94,281,301,129,464,2,1,0,0,1,228,474,,9700634860
San Mateo Union High School District,"225,423","213,221","126,625","4,190",870,"58,051","6,864","28,000","11,580","4,665","2,749",859,"3,334","3,813",209,126,419,"3,059","19,672","12,202",,9600634980
San Mateo-Foster City Elementary School District,"129,099","121,911","71,272","2,873",535,"32,345","5,121","14,448","5,771","3,397","1,250",502,"1,856","2,187",120,93,174,"1,800","12,699","7,188",,9500634920
San Miguel Joint Union Elementary School District,"5,041","4,850","4,043",78,107,51,0,4,21,6,6,3,11,7,5,2,0,0,564,191,,9500635010
San Pasqual Union Elementary School District,"3,230","3,126","2,650",68,18,138,19,24,61,9,6,3,16,7,1,5,0,1,245,104,,9500635040
San Pasqual Valley Unified School District,"3,464","3,253","1,413",56,"1,412",26,3,5,13,0,1,4,0,0,0,0,0,0,346,211,,9700635070
San Rafael City Elementary School District,"54,884","52,130","36,309","2,996",783,"2,885",327,686,458,230,171,661,352,126,13,28,17,68,"9,031","2,754",,9500635090
San Rafael City High School District,"76,180","72,589","53,865","3,386",888,"4,463",595,"1,161",685,462,298,764,498,162,20,34,21,87,"9,825","3,591",,9600635110
San Ramon Valley Unified School District,"143,385","136,744","96,370","2,769",319,"34,707","9,845","12,278","4,537","1,186","3,056","1,107","2,698",255,56,71,20,108,"2,324","6,641",,9700635130
San Ysidro Elementary School District,"41,488","39,904","20,588","3,105",305,"3,353",33,194,"2,621",48,59,193,205,119,15,39,45,20,"12,434","1,584",,9500635220
Sanger Unified School District,"49,829","48,005","28,499",921,621,"5,579","1,051",174,470,290,31,174,"3,389",89,13,12,31,33,"12,296","1,824",,9700635250
Santa Ana Unified School District,"255,137","245,886","122,732","4,001","2,504","17,839","1,069","1,793","1,986",727,993,"8,421","2,850",635,93,39,300,203,"98,175","9,251",,9700635310
Santa Barbara Elementary School District,"83,498","80,262","63,068","1,262",857,"2,634",264,765,495,437,283,129,261,125,53,15,28,29,"12,316","3,236",,9500635360
Santa Barbara High School District,"184,132","176,476","137,599","2,906","1,570","10,993","1,216","3,518","1,563","1,193","1,196","1,034","1,273",252,98,34,47,73,"23,156","7,656",,9600635370
Santa Clara Elementary School District,168,164,111,0,2,4,0,0,0,4,0,0,0,0,0,0,0,0,47,4,,9500635490
Santa Clara Unified School District,"143,808","136,246","63,738","4,060",773,"54,626","19,935","11,075","8,450","2,306","3,931","5,575","3,354",742,106,123,169,344,"12,307","7,562",,9700635430
Santa Cruz City Elementary School District,"62,259","58,785","46,700","1,089",455,"4,651",464,"1,926",669,408,358,318,508,108,44,10,20,34,"5,782","3,474",,9500635590
Santa Cruz City High School District,"91,185","86,370","69,544","1,438",730,"5,645",510,"2,155",953,536,433,420,638,161,62,16,25,58,"8,852","4,815",,9600635600
Santa Cruz City High School District (9-12) in Soquel,"26,210","24,985","21,319",276,171,977,93,178,270,161,94,53,128,42,19,7,2,14,"2,200","1,225",,9600606015
Santa Maria Joint Union High School District,"142,483","135,428","88,147","2,209","2,392","6,567",358,356,"4,266",526,488,187,386,228,68,53,44,63,"35,885","7,055",,9600635670
Santa Maria-Bonita Elementary School District,"98,324","93,341","54,556","1,643","1,862","4,811",258,208,"3,504",258,183,130,270,153,34,38,32,49,"30,316","4,983",,9500605580
Santa Monica-Malibu Unified School District,"108,886","104,235","86,455","3,931",372,"8,900","1,116","2,761",945,"1,449","1,467",319,843,144,46,10,17,71,"4,433","4,651",,9700635700
Santa Paula Elementary School District,"28,138","27,095","17,585",133,454,205,33,39,56,26,17,10,24,22,9,0,0,13,"8,696","1,043",,9500635730
Santa Paula Union High School District,"31,924","30,726","20,233",160,499,237,35,41,65,37,20,13,26,25,10,0,0,15,"9,572","1,198",,9600635760
Santa Rita Union Elementary School District,"22,553","21,286","10,387",513,280,"2,305",196,207,"1,371",133,159,118,121,87,26,33,5,23,"7,714","1,267",,9500635790
Santa Rosa Elementary School District,"72,094","68,396","49,783","1,853","1,368","3,249",313,584,552,175,160,458,"1,007",366,59,23,76,208,"11,777","3,698",,9500635810
Santa Rosa High School District,"209,622","199,303","149,680","4,692","3,606","10,061","1,041","1,832","1,868",568,513,"1,337","2,902",913,154,55,185,519,"30,351","10,319",,9600635830
Santa Ynez Valley Union High School District,"21,027","20,347","17,757",136,411,375,25,91,47,60,62,23,67,24,10,6,3,5,"1,644",680,,9600635850
Santee Elementary School District,"56,693","53,611","46,788","1,119",437,"2,146",96,222,"1,012",183,102,270,261,271,59,134,37,41,"2,850","3,082",,9500635880
Saratoga Union Elementary School District,"19,679","19,033","10,856",49,25,"7,950","1,885","4,496",87,354,612,243,273,18,7,3,0,8,135,646,,9500635910
Saucelito Elementary School District,178,170,121,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,39,8,,9500635940
Saugus Union Elementary School District,"101,731","96,598","72,727","3,325",451,"11,942","1,128","1,174","4,615",660,"2,866",376,"1,123",132,49,18,11,54,"8,021","5,133",,9500635970
Sausalito Elementary School District,"10,671","10,303","8,274","1,099",32,663,132,177,87,62,37,93,75,31,12,7,6,6,204,368,,9500636000
Savanna Elementary School District,"29,239","27,715","14,669",997,210,"7,102",524,504,"1,987",289,973,"2,236",589,176,34,26,78,38,"4,561","1,524",,9500636030
Scotia Union Elementary School District,"1,381","1,324","1,111",31,52,7,0,0,2,0,0,0,5,10,3,0,7,0,113,57,,9500636100
Scott Valley Unified School District,"5,098","4,757","4,310",45,272,29,2,10,1,2,3,0,11,6,6,0,0,0,95,341,,9700600159
Scott Valley Unified School District in Forks of Salmon,211,193,153,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,3,18,,9600606005
Scotts Valley Unified School District,"17,660","16,880","15,430",123,80,790,167,214,97,105,95,42,70,22,8,8,2,4,435,780,,9700600043
Sebastopol Union Elementary School District,"12,060","11,655","10,687",113,114,201,9,40,29,66,12,7,38,26,7,1,7,11,514,405,,9500636180
Seeley Union Elementary School District,"2,991","2,776","1,569",93,17,65,2,2,46,7,4,1,3,3,0,1,2,0,"1,029",215,,9500636210
Seiad Elementary School District,328,303,265,0,30,3,0,0,3,0,0,0,0,0,0,0,0,0,5,25,,9500636240
Selma Unified School District,"29,169","28,044","16,167",326,563,"1,542","1,151",57,83,162,6,9,74,10,0,1,2,7,"9,436","1,125",,9700636270
Semitropic Elementary School District,350,344,102,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,235,6,,9500636330
Sequoia Union Elementary School District,"2,079","1,998","1,752",8,35,16,0,3,3,0,3,0,7,8,0,0,0,8,179,81,,9500636360
Sequoia Union High School District,"243,514","231,364","154,704","9,356","1,137","25,203","4,506","9,988","4,103","2,354","1,373",855,"2,024","3,986",131,96,514,"3,245","36,978","12,150",,9600636390
Shaffer Union Elementary School District,"10,433","10,291","5,260","2,089",236,72,4,1,30,3,3,6,25,11,3,0,0,8,"2,623",142,,9500636420
Shandon Joint Unified School District,"1,859","1,803","1,276",43,20,8,0,1,5,2,0,0,0,2,2,0,0,0,454,56,,9700636450
Shasta Union Elementary School District,"2,273","2,161","2,035",19,65,30,2,6,11,3,3,0,5,1,0,0,0,1,11,112,,9500636570
Shasta Union High School District,"101,215","96,676","87,644","1,142","2,407","2,944",334,408,447,180,154,112,"1,309",159,71,31,22,35,"2,380","4,539",,9600636600
Shiloh Elementary School District,749,734,529,8,0,7,1,6,0,0,0,0,0,5,3,1,0,1,185,15,,9500636660
Shoreline Unified School District,"6,064","5,888","5,239",34,31,84,10,22,10,28,8,1,5,9,1,0,1,7,491,176,,9700636670
Sierra Sands Unified School District,"35,267","33,370","28,078","1,222",461,"1,336",134,170,519,107,70,149,187,164,22,71,55,16,"2,109","1,897",,9700636800
Sierra Unified School District,"9,980","9,565","8,560",43,580,113,22,12,30,27,1,8,13,12,2,1,3,6,257,415,,9700636805
Sierra-Plumas Joint Unified School District,"3,880","3,778","3,614",8,51,14,0,2,4,1,1,2,4,2,2,0,0,0,89,102,,9700636780
Silver Fork Elementary School District,244,228,211,0,3,6,0,0,1,0,5,0,0,4,1,0,0,3,4,16,,9500636810
Silver Valley Unified School District,"13,565","12,616","9,116","1,210",219,471,8,50,226,17,59,28,83,145,23,48,52,22,"1,455",949,,9700636820
Simi Valley Unified School District,"127,413","121,532","96,369","1,781",772,"11,648","3,381","1,534","2,728",677,886,"1,251","1,191",179,67,43,15,54,"10,783","5,881",,9700636840
Siskiyou Union High School District,"16,201","15,454","13,852",341,590,316,29,38,46,39,14,4,146,39,4,1,21,13,316,747,,9600636940
Snelling-Merced Falls Union Elementary School District,674,650,508,3,10,15,6,2,2,0,1,0,4,2,2,0,0,0,112,24,,9500636960
Snowline Joint Unified School District,"40,126","38,332","29,930","1,615",352,"1,172",60,88,192,59,619,47,107,103,19,15,26,43,"5,160","1,794",,9700636970
Solana Beach Elementary School District,"37,431","36,109","29,757",186,100,"4,974",781,"2,064",281,419,962,197,270,37,13,11,1,12,"1,055","1,322",,9500636990
Soledad Unified School District,"26,445","25,661","12,901","2,947",371,765,16,33,335,11,10,18,342,104,5,16,6,77,"8,573",784,,9700637050
Solvang Elementary School District,"5,715","5,551","4,744",39,67,76,12,13,9,15,10,5,12,1,1,0,0,0,624,164,,9500637110
Somis Union Elementary School District,"3,193","3,113","2,526",24,30,121,9,38,22,29,18,1,4,11,5,1,1,4,401,80,,9500637140
Sonoma Valley Unified School District,"39,154","37,930","31,724",236,266,825,59,154,214,124,48,11,215,90,30,5,5,50,"4,789","1,224",,9700637200
Sonora Elementary School District,"8,899","8,579","8,073",36,140,169,30,55,45,17,3,5,14,16,6,2,0,8,145,320,,9500637230
Sonora Union High School District,"39,921","38,481","34,351","1,065",629,431,47,102,154,53,17,11,47,50,28,3,4,15,"1,955","1,440",,9600637260
Soquel Elementary School District,"26,210","24,985","21,319",276,171,977,93,178,270,161,94,53,128,42,19,7,2,14,"2,200","1,225",,9500637290
Soulsbyville Elementary School District,"4,862","4,687","4,481",6,85,40,3,5,25,4,2,0,1,8,4,0,0,4,67,175,,9500637320
South Bay Union Elementary School District (Humboldt County),"6,914","6,566","5,728",72,241,244,41,32,31,21,13,9,97,4,3,0,1,0,277,348,,9500637350
South Bay Union Elementary School District (San Diego County),"75,823","71,749","43,406","2,753",628,"6,555",68,204,"5,614",273,58,80,258,365,82,173,56,54,"18,042","4,074",,9500637380
South Fork Union Elementary School District,"3,680","3,495","3,261",10,133,12,0,2,8,1,1,0,0,1,0,0,1,0,78,185,,9500637470
South Pasadena Unified School District,"25,620","24,205","13,923",771,107,"7,973",329,"4,022",491,793,"1,641",171,526,9,4,2,0,3,"1,422","1,415",,9700637500
South San Francisco Unified School District,"77,916","73,351","26,763","2,048",420,"32,594","1,091","9,073","19,126",578,463,511,"1,752","1,306",76,46,438,746,"10,220","4,565",,9700637530
South Whittier Elementary School District,"28,813","27,750","16,143",435,369,"1,045",57,121,555,42,79,52,139,80,10,14,22,34,"9,678","1,063",,9500637560
Southern Humboldt Joint Unified School District,"8,564","8,151","7,589",80,236,82,12,10,19,13,4,5,19,8,2,1,2,3,156,413,,9700637590
Southern Kern Unified School District,"19,532","18,256","12,347","1,504",238,676,31,42,378,56,57,12,100,72,13,47,7,5,"3,419","1,276",,9700637620
Southern Trinity Joint Unified School District,"1,078","1,013",928,1,65,3,0,1,1,1,0,0,0,0,0,0,0,0,16,65,,9700637630
Southside Elementary School District,"1,788","1,711","1,384",7,11,30,0,4,7,13,6,0,0,3,0,1,0,2,276,77,,9500637650
Spencer Valley Elementary School District,449,438,408,2,7,7,0,3,0,3,0,1,0,0,0,0,0,0,14,11,,9500637680
Spreckels Union Elementary School District,"6,380","6,054","4,974",76,49,497,69,74,144,95,75,8,32,7,2,3,0,2,451,326,,9500637710
Springville Union Elementary School District,"3,797","3,670","3,344",32,67,65,20,5,15,6,4,0,15,3,2,0,0,1,159,127,,9500637770
St. Helena Unified School District,"9,714","9,445","7,722",47,65,174,22,23,58,27,14,3,27,11,4,5,0,2,"1,426",269,,9700637830
Standard Elementary School District,"22,909","21,989","19,468",146,409,270,43,18,118,11,19,27,34,20,8,6,5,1,"1,676",920,,9500637890
Stanislaus Union Elementary School District,"29,885","27,910","18,866","1,255",301,"2,932",800,427,477,77,98,427,626,372,25,32,15,300,"4,184","1,975",,9500637950
Stockton Unified School District,"201,918","187,997","77,153","20,593","2,755","29,438","1,127","2,421","10,729",681,222,"1,533","12,725",990,112,189,209,480,"57,068","13,921",,9700638010
Stone Corral Elementary School District,715,694,376,1,17,3,0,0,0,2,1,0,0,4,4,0,0,0,293,21,,9500638040
Stony Creek Joint Unified School District,957,920,626,45,163,9,1,0,3,0,1,0,4,3,0,1,0,2,74,37,,9700638070
Strathmore Union Elementary School District,"5,590","5,386","3,382",28,73,64,1,9,20,20,1,0,13,1,0,0,0,1,"1,838",204,,9500638130
Sulphur Springs Union Elementary School District,"60,947","57,745","38,251","3,524",409,"5,836",524,359,"2,750",271,"1,110",145,677,126,48,30,11,37,"9,599","3,202",,9500638220
Summerville Elementary School District,"4,482","4,281","3,849",23,260,43,2,8,22,5,6,0,0,7,4,1,1,1,99,201,,9500638250
Summerville Union High School District,"10,109","9,719","9,039",41,338,96,3,24,41,13,9,0,6,15,8,2,1,4,190,390,,9600638280
Sundale Union Elementary School District,"2,342","2,249","1,729",18,21,16,4,1,3,1,0,0,7,0,0,0,0,0,465,93,,9500638340
Sunnyside Union Elementary School District,"2,270","2,182","1,379",11,34,19,0,4,7,0,0,0,8,1,1,0,0,0,738,88,,9500638430
Sunnyvale Elementary School District,"85,145","81,151","35,209","1,797",448,"33,389","13,080","8,839","5,146","1,524","1,424","1,834","1,542",508,43,54,170,241,"9,800","3,994",,9500638460
Sunol Glen Unified School District,945,892,808,1,7,50,19,8,6,13,1,2,1,7,2,4,0,1,19,53,,9700600021
Surprise Valley Joint Unified School District,"1,273","1,238","1,042",4,92,2,0,2,0,0,0,0,0,0,0,0,0,0,98,35,,9700638520
Susanville Elementary School District,"11,632","11,046","9,541",167,595,157,24,28,60,9,3,18,15,110,9,1,5,95,476,586,,9500638550
Sutter Union High School District,"7,755","7,405","6,114",69,133,359,235,26,10,30,2,1,55,5,2,1,1,1,725,350,,9600638610
Sweetwater Union High School District,"455,078","430,429","238,974","21,359","3,664","60,532",791,"2,431","48,687","2,623","2,302","1,376","2,322","2,585",314,"1,380",555,336,"103,315","24,649",,9600638640
Sylvan Union Elementary School District,"71,866","67,436","50,353","2,747",762,"5,407","1,114",690,"1,872",147,159,549,876,610,62,39,53,456,"7,557","4,430",,9500638670
Taft City Elementary School District,"19,137","18,485","14,274",465,380,151,32,27,32,6,7,18,29,114,19,3,83,9,"3,101",652,,9500638700
Taft Union High School District,"20,160","19,474","15,080",476,403,152,32,28,32,6,7,18,29,114,19,3,83,9,"3,249",686,,9600638730
Tahoe-Truckee Joint Unified School District,"31,699","30,997","28,066",126,173,477,30,167,74,100,38,25,43,32,12,3,1,16,"2,123",702,,9700638770
Tamalpais Union High School District,"113,295","109,014","98,904","2,105",300,"5,570",800,"1,811",544,863,760,265,527,218,51,27,11,129,"1,917","4,281",,9600638790
Tehachapi Unified School District,"35,209","33,971","27,533","1,572",485,524,54,57,175,62,45,42,89,50,21,8,11,10,"3,807","1,238",,9700638880
Temecula Valley Unified School District,"139,807","131,384","98,308","6,295","1,705","13,838",648,"1,084","7,903",531,"1,191",942,"1,539",569,116,247,130,76,"10,669","8,423",,9700600028
Temple City Unified School District,"34,611","33,565","11,240",336,174,"19,758",266,"15,410",640,509,541,"1,032","1,360",29,11,8,4,6,"2,028","1,046",,9700638980
Templeton Unified School District,"10,421","10,127","9,365",68,113,150,8,29,36,25,13,17,22,11,1,0,3,7,420,294,,9700639000
Terra Bella Union Elementary School District,"5,795","5,684","3,184",31,52,98,2,1,75,5,1,2,12,5,1,0,4,0,"2,314",111,,9500639060
Thermalito Union Elementary School District,"16,968","15,985","12,091",361,659,"2,108",73,21,102,11,6,30,"1,865",66,23,2,34,7,700,983,,9500639180
Three Rivers Union Elementary School District,"2,266","2,198","2,052",7,29,34,3,6,5,5,12,0,3,1,0,1,0,0,75,68,,9500639210
Tipton Elementary School District,"3,248","3,179","2,061",3,19,9,4,0,2,0,0,0,3,0,0,0,0,0,"1,087",69,,9500639300
Torrance Unified School District,"145,100","137,098","74,101","3,956",552,"50,163","3,915","7,689","4,957","15,440","12,079","2,137","3,946",531,163,59,220,89,"7,795","8,002",,9700639420
Tracy Joint Unified School District,"75,314","69,725","40,053","5,091",678,"10,009","2,463",838,"4,415",217,184,746,"1,146",660,106,123,148,283,"13,234","5,589",,9700600047
Traver Joint Elementary School District,"1,212","1,171",587,2,22,9,1,0,1,1,0,0,6,2,0,0,0,2,549,41,,9500639600
Travis Unified School District,"29,935","27,840","16,023","5,983",233,"3,359",297,229,"2,266",98,96,114,259,225,39,99,45,42,"2,017","2,095",,9700639630
Tres Pinos Union Elementary School District,754,730,612,3,17,8,2,2,0,0,3,0,1,0,0,0,0,0,90,24,,9500639690
Trinidad Union Elementary School District,"2,213","2,125","1,944",12,124,27,3,10,5,4,1,0,4,2,0,1,0,1,16,88,,9500639720
Trinity Alps Unified School District,"4,159","3,943","3,663",14,163,48,10,2,10,5,1,0,20,2,1,0,0,1,53,216,,9700601331
Trinity Alps Unified School District in Burnt Ranch,803,759,707,1,44,4,0,0,0,1,0,0,3,0,0,0,0,0,3,44,,9600606006
Trinity Alps Unified School District in Coffee Creek,239,233,219,0,5,6,0,3,0,1,0,0,2,0,0,0,0,0,3,6,,9600606007
Trinity Alps Unified School District in Cox Bar,246,235,204,2,15,1,0,0,1,0,0,0,0,0,0,0,0,0,13,11,,9600606008
Trinity Alps Unified School District in Douglas City,895,852,788,3,36,10,0,1,2,3,1,0,3,0,0,0,0,0,15,43,,9600606009
Trinity Alps Unified School District in Junction City,750,716,668,1,30,2,0,1,0,1,0,0,0,0,0,0,0,0,15,34,,9600606010
Trinity Alps Unified School District in Lewiston,"1,685","1,631","1,494",33,44,9,0,2,5,0,1,0,1,8,5,2,0,1,43,54,,9600606011
Trinity Alps Unified School District in Trinity Center,457,446,430,0,10,1,0,0,0,1,0,0,0,3,3,0,0,0,2,11,,9600606012
Trinity Center Elementary School District,457,446,430,0,10,1,0,0,0,1,0,0,0,3,3,0,0,0,2,11,,9500639750
Trona Joint Unified School District,"1,885","1,774","1,528",73,57,16,1,0,7,1,1,2,4,6,0,0,6,0,94,111,,9700639840
Tulare City Elementary School District,"60,273","57,412","37,067","2,338",699,"1,294",318,122,322,41,26,53,412,82,11,12,6,53,"15,932","2,861",,9500639870
Tulare Joint Union High School District,"78,539","75,047","48,027","2,592",930,"1,391",359,124,350,44,26,53,435,89,11,12,6,60,"22,018","3,492",,9600639930
Tulelake Basin Joint Unified School District,"2,512","2,369","1,643",8,53,4,1,0,2,0,0,0,1,5,4,0,0,1,656,143,,9700639940
Turlock Unified School District,"70,650","67,207","49,007","1,161",636,"3,835","2,294",332,483,147,114,108,357,321,73,41,23,184,"12,247","3,443",,9700600158
Turlock Unified School District in Chatom Union,"4,467","4,286","3,372",16,29,38,24,1,10,1,1,1,0,7,1,0,0,6,824,181,,9600606013
Turlock Unified School District in Keyes Union,"5,823","5,604","3,323",63,67,213,117,6,16,1,1,10,62,27,6,9,1,11,"1,911",219,,9600606014
Tustin Unified School District,"131,557","125,487","75,465","2,587",658,"26,778","3,593","6,390","3,393","1,627","5,119","4,165","2,491",376,59,64,83,170,"19,623","6,070",,9700640150
Twain Harte-Long Barn Union Elementary School District,"5,627","5,438","5,190",18,78,53,1,16,19,8,3,0,6,8,4,1,0,3,91,189,,9500640200
Twin Hills Union Elementary School District,"5,478","5,313","4,943",46,28,84,3,20,9,38,5,6,3,2,0,2,0,0,210,165,,9500640230
Twin Ridges Elementary School District,"2,544","2,401","2,264",10,49,37,3,11,3,8,3,3,6,2,2,0,0,0,39,143,,9500600012
Twin Rivers Unified School District,"159,438","147,858","88,439","19,572","2,282","14,098","1,499",905,"2,861",432,253,868,"7,280","1,677",147,147,470,913,"21,790","11,580",,9700601332
Twin Rivers Unified School District in Elverta,"2,837","2,716","2,316",30,48,118,1,21,18,2,1,3,72,13,2,0,0,11,191,121,,9600606003
Twin Rivers Unified School District in Robla,"19,461","18,136","8,293","2,742",254,"3,152",457,71,418,32,20,41,"2,113",466,25,10,96,335,"3,229","1,325",,9600606004
Two Rock Union Elementary School District,"1,685","1,618","1,347",43,10,21,2,5,7,1,3,1,2,0,0,0,0,0,197,67,,9500640260
Ukiah Unified School District,"39,035","37,204","28,074",310,"1,766",966,81,363,240,45,36,91,110,69,35,6,10,18,"6,019","1,831",,9700640300
Union Elementary School District,"44,263","41,840","32,713",628,200,"6,191","1,083","1,709",671,840,736,686,466,148,41,18,19,70,"1,960","2,423",,9500640320
Union Hill Elementary School District,"2,421","2,314","2,215",7,25,38,5,7,11,7,4,3,1,1,1,0,0,0,28,107,,9500640380
Union Joint Elementary School District,84,84,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,,9500640410
Upland Unified School District,"73,518","70,035","48,781","5,255",527,"6,262",721,"1,549","1,410",334,812,498,938,155,45,31,14,65,"9,055","3,483",,9700600016
Upper Lake Union Elementary School District,"5,462","5,191","4,347",81,416,63,5,20,22,3,6,0,7,8,7,0,0,1,276,271,,9500640470
Upper Lake Union High School District,"8,879","8,400","7,235",153,525,97,6,27,33,12,8,3,8,17,12,0,1,4,373,479,,9600640500
Vacaville Unified School District,"77,469","71,830","54,464","4,940",739,"4,175",386,548,"2,141",377,192,211,320,441,131,150,79,81,"7,071","5,639",,9700640590
Val Verde Unified School District,"81,391","77,359","33,935","12,022",630,"4,062",251,273,"2,042",86,203,651,556,289,33,59,89,108,"26,421","4,032",,9700691135
Valle Lindo Elementary School District,"6,036","5,799","3,363",31,83,640,4,297,65,17,6,197,54,0,0,0,0,0,"1,682",237,,9500640650
Vallecito Union Elementary School District,"10,304","10,037","9,553",68,79,98,3,31,26,18,7,1,12,19,4,6,1,8,220,267,,9500640680
Vallecitos Elementary School District,"2,162","2,102","1,563",19,14,53,2,11,13,3,8,3,13,12,1,1,8,2,441,60,,9500640710
Vallejo City Unified School District,"119,022","110,097","39,341","26,126",798,"29,188","1,157","1,110","24,684",291,239,599,"1,108","1,290",135,466,297,392,"13,354","8,925",,9700640740
Valley Center-Pauma Unified School District,"24,678","23,590","16,958",154,"1,816",670,32,71,284,86,60,52,85,48,16,16,11,5,"3,944","1,088",,9700600069
Valley Home Joint Elementary School District,"1,641","1,605","1,351",11,8,15,0,0,3,2,0,0,10,0,0,0,0,0,220,36,,9500640800
Ventura Unified School District,"118,441","112,401","90,747","1,818","1,447","3,807",483,611,978,421,462,292,560,222,87,39,40,56,"14,360","6,040",,9700640980
Victor Elementary School District,"94,469","88,467","48,705","14,309","1,242","3,551",366,357,"1,414",197,409,336,472,345,59,119,95,72,"20,315","6,002",,9500641040
Victor Valley Union High School District,"158,707","149,095","80,445","25,705","2,188","5,588",528,501,"2,289",293,666,548,763,690,133,198,196,163,"34,479","9,612",,9600636972
Vineland Elementary School District,"4,205","4,028","1,950",19,124,26,5,0,14,0,0,1,6,0,0,0,0,0,"1,909",177,,9500641130
Visalia Unified School District,"142,596","136,241","90,750","2,812","2,076","7,011",689,638,"1,543",331,194,266,"3,350",167,47,54,19,47,"33,425","6,355",,9700641160
Vista del Mar Union Elementary School District,505,494,440,0,1,3,0,1,0,0,1,0,1,1,0,1,0,0,49,11,,9500641220
Vista Unified School District,"146,570","138,981","98,792","4,748","1,453","6,929",368,863,"2,642",866,525,995,670,"1,100",137,170,660,133,"25,959","7,589",,9700641190
Walnut Creek Elementary School District,"47,358","45,475","38,196",864,104,"4,996",754,"1,789",950,511,448,115,429,92,25,18,5,44,"1,223","1,883",,9500641250
Walnut Valley Unified School District,"56,658","54,716","15,560","1,521",158,"34,504","1,998","19,519","3,604",972,"5,593",646,"2,172",94,24,9,46,15,"2,879","1,942",,9700641280
Warner Unified School District,"2,294","2,222","1,773",35,274,46,2,2,15,4,22,0,1,0,0,0,0,0,94,72,,9700600042
Wasco Union Elementary School District,"26,302","25,443","13,022","1,963",292,188,43,26,43,8,5,12,51,13,0,5,0,8,"9,965",859,,9500641400
Wasco Union High School District,"29,934","29,014","13,696","1,975",301,209,46,26,50,8,5,12,62,14,0,6,0,8,"12,819",920,,9600641430
Washington Colony Elementary School District,"2,850","2,721","1,697",28,64,95,23,10,12,10,1,5,34,0,0,0,0,0,837,129,,9500641460
Washington Unified School District,"48,722","44,990","29,503","2,344",798,"5,102",974,958,"1,223",185,119,323,"1,320",534,36,47,33,418,"6,709","3,732",,9700641580
Washington Union Elementary School District,"6,924","6,655","6,073",62,29,382,52,71,38,109,60,19,33,11,0,2,2,7,98,269,,9500641610
Washington Union High School District,"18,639","17,935","8,162","2,166",462,"1,963",271,51,59,130,2,15,"1,435",14,1,0,13,0,"5,168",704,,9600641640
Waterford Unified School District,"9,619","9,209","6,954",82,122,140,28,26,35,9,6,4,32,11,4,1,3,3,"1,900",410,,9700600063
Waugh Elementary School District,"6,249","5,982","4,966",86,29,572,109,217,98,43,20,37,48,15,3,1,0,11,314,267,,9500641790
Waukena Joint Union Elementary School District,984,952,599,4,16,3,0,0,3,0,0,0,0,4,0,0,0,4,326,32,,9500641820
Weaver Union Elementary School District,"12,606","11,922","5,586",689,147,"1,903",104,16,84,14,5,13,"1,667",13,8,2,1,2,"3,584",684,,9500641880
Weed Union Elementary School District,"4,044","3,800","3,185",222,81,144,6,4,11,4,3,2,114,27,1,1,14,11,141,244,,9500641980
West Contra Costa Unified School District,"235,847","221,798","87,286","45,518","1,559","44,788","4,072","12,123","14,868","2,391","1,296","2,499","7,539","1,122",128,124,276,594,"41,525","14,049",,9700632550
